物種,id,疾病項目,飲食注意,專家叮嚀
兔子,mange,皮膚疥癬蟲（蟎蟲）,依獸醫指示使用滴劑（如Selamectin）,絕對禁止使用「芬普尼（Fipronil）」成分（如蚤不到），對兔子具神經毒性會致死；台灣潮濕易發，需環境消毒
倉鼠,wet_tail,濕尾（幼鼠／黃金鼠，緊迫性腹瀉）,就醫抗生素與補液，減少緊迫與環境變動,幼鼠多見，腹瀉、嗜睡為警訊，盡速就醫
倉鼠,diabetes,糖尿病（侏儒鼠好發）,依獸醫指示控制糖分與餵食，避免高糖點心,坎貝爾／一線鼠好發，規律餵食、觀察飲水量
倉鼠,tumor,腫瘤／淋巴瘤（經獸醫診斷）,依獸醫建議維持營養與食慾,黃金鼠公鼠黑色素瘤較多，侏儒鼠淋巴瘤常見
倉鼠,diarrhea,腹瀉／Tyzzer或寄生蟲,就醫診治，維持飲水與易消化食物,成鼠腹瀉可能為細菌或寄生蟲，勿拖延
倉鼠,wet_tail,濕尾症（Wet Tail）,暫停輔食，依獸醫指示輸液與給予抗生素,這是幼鼠（特別是黃金鼠）致死率極高的細菌性腸炎；具高度傳染性需隔離，病程極快（24-48小時死亡），不吃不喝需立即急診
倉鼠,diabetes_mellitus,糖尿病（三多一少）,嚴禁水果、甜食與高碳水零食；改以高纖、高蛋白合成糧為主,布丁鼠、一線鼠（坎貝爾）與混種鼠為高危險群；出現「多喝、多尿、多吃但變瘦」為警訊，需每日監測飲水量
倉鼠,pyometra,子宮蓄膿（母鼠殺手）,手術後需補充高蛋白（如水煮蛋白、雞肉泥）幫助傷口修復,好發於1歲以上未結紮母鼠；若腹部異常腫大（閉鎖型）或陰部流膿（開放型）需立即手術切除子宮，藥物治療復發率極高
倉鼠,neoplasm_or_abscess,腫瘤／膿包,維持食慾最重要（惡病質會消瘦），可給予易吞嚥的營養糊,倉鼠代謝快，腫瘤生長速度驚人；若為高齡鼠（>1.5歲），可考量安寧照護代替高風險手術；需區分是腫瘤還是打架造成的膿包
倉鼠,upper_respiratory_disease,呼吸道過敏／感冒,移除過敏原（如粉塵多的木屑砂），改用廚房紙巾或紙墊材,常發出「啾啾聲」（誤以為說夢話）其實是呼吸異音；台灣濕度高易孳生黴菌，需控制濕度40-70%並使用空氣清淨機
倉鼠,cheek_pouch_prolapse,頰囊外翻／發炎,禁止給予黏性食物（如白飯、麻糬）或尖銳種子，以免沾黏或刺傷,頰囊翻出為粉紅色肉球狀，需手術推回或切除；定期檢查是否藏食過久導致腐敗發炎
倉鼠,heatstroke,熱衰竭（中暑）,給予涼開水，發生時不可直接泡冰水（會休克），僅能擦拭耳部散熱,台灣氣溫>28°C即有危險，夏季務必開冷氣或使用保冷劑；倉鼠無汗腺，張口呼吸代表極度危險
倉鼠,malocclusion,咬合不正（牙齒過長）,提供足夠的磨牙主食（硬質壓縮糧），避免只吃軟食,切勿自行用指甲剪剪牙（易致牙根縱裂發炎）；門牙終生生長，若食慾廢絕、流口水需由獸醫修剪
倉鼠,neuro_disorder,神經失調（轉圈/歪頭）,避免籠內高低落差導致跌傷，使用平坦寬敞的籠舍,多見於近親繁殖的混種鼠（Hybrids）或耳部感染；若為基因缺陷無法治癒，僅能改善環境安全
倉鼠,diarrhea_mild,一般腹瀉（軟便）,暫停餵食蔬菜水果（水分過多），改回全乾糧與煮沸冷開水,需區分是否為寄生蟲或食物不潔（生水）；台灣自來水含氯與細菌，絕對禁止給予生水，務必餵食煮沸過的冷開水
